"Hm0","THp","Tm01","Tm02","Tp","U10","wind_dir"
4.2,212.9,8.3,6.9,9.3,15.4,192.1
4.4,211.6,8.5,7,9.5,15.8,190.4
4.5,210.6,8.6,7.2,9.7,15.7,189.8
4.5,209.6,8.7,7.2,9.7,15.4,187.8
4.5,208.1,8.7,7.2,9.8,14.9,182.9
4.4,205.5,8.7,7.1,9.8,14.9,176.1
4.5,198.5,8.6,7.1,9.7,15.7,170.3
4.7,193.4,8.7,7.2,9.9,16,165.8
5,187.7,8.9,7.5,10.1,17.3,159.6
5.6,183.1,9.2,7.8,10.4,18.7,154.3
6.3,179.9,9.7,8.1,10.9,19.9,152.2
6.9,175,10.2,8.6,11.4,20.1,149.6
7.3,172.3,10.6,8.9,11.8,19.9,147.7
7.8,171.1,10.9,9.2,12.3,21,147.6
8.4,170.7,11.3,9.5,12.6,21.4,149.6
8.5,171.7,11.6,9.7,13,19.1,149.5
8,171.7,11.7,9.8,13.4,17.1,151
7.3,171.5,11.8,10,13.4,14.7,160
6.6,171.2,11.9,10.2,13.3,12,175.9
6,169.5,11.9,10.4,13.1,10.4,185.3
5.6,167.1,11.9,10.4,12.7,10,186.2
5.3,164.8,11.8,10.3,12.8,9.7,186
5,162.4,11.8,10,12.6,9.6,186.8
4.8,158.5,11.6,9.8,12.4,9.9,187.6
4.7,154.9,11.5,9.5,12.3,9.7,190.5
4.6,150.9,11.5,9.5,12.2,8.6,206.2
4.5,146.8,11.6,9.8,12.1,8.3,251
4.6,274.8,11.1,8.9,11.9,13,279.3
5.3,276.3,10.1,8.1,11.6,15.5,282.1
5.5,275.5,10.1,8.3,11.3,14.5,271.9
5.3,275.3,10.4,8.5,11.7,13.4,254.9
5.2,278.3,10.5,8.5,12,13.4,239.5
5.1,281.4,10.6,8.4,12.6,13,225.6
5,282.4,10.7,8.4,13,12.1,209.5
4.8,283.2,11,8.6,12.9,10.5,185.5
4.6,283.7,11.2,8.8,13.1,9.5,130.8
4.6,284.2,11.3,9.2,13.2,4.3,141.9
4.8,284.5,11.3,9.6,12.7,12.1,278.9
5.1,284.7,11.2,9.5,11.6,12.4,281
5.1,284.7,11.3,9.4,11.7,9.9,267.2
