id;U[m/s];SigmaU[m/s];Alpha;Hs[m];Tp[s];Density[kg/m3];Yaw[deg];Ch 8 Electrical power [W] Mean;Ch 17 Tower base moment Mx[kNm] SeqM3;Ch 18 Tower base moment My[kNm] SeqM3;Ch 19 Tower base moment Mz[kNm] SeqM3;Ch 23 Tower top moment Mx[kNm] SeqM3;Ch 24 Tower top moment My[kNm] SeqM3;Ch 25 Tower top moment Mz[kNm] SeqM3;Ch 27 Blade1 root moment Mx[kNm] SeqM10;Ch 28 Blade1 root moment My[kNm] SeqM10;Ch 29 Blade1 root moment Mz[kNm] SeqM10;Ch 30 Blade2 root moment Mx[kNm] SeqM10;Ch 31 Blade2 root moment My[kNm] SeqM10;Ch 32 Blade2 root moment Mz[kNm] SeqM10;Ch 33 Blade3 root moment Mx[kNm] SeqM10;Ch 34 Blade3 root moment My[kNm] SeqM10;Ch 35 Blade3 root moment Mz[kNm] SeqM10
1328;4.73073934870725;1.18257902085653;0.115913598866736;2.52571925190042;11.7616609071318;1.18674755096436;-10.4081010818481;1.38184291421480943e+06;1.37493464876782149e+05;3.78158280491937185e+04;4.24294574957765944e+04;5.00015904955683072e+04;4.91223359445186452e+03;4.16321894929734917e+04;1.92680874763769389e+04;5.44918484581454686e+04;4.61170549384292428e+02;1.89059667154932504e+04;5.45021902471858048e+04;4.67046415210724717e+02;1.90347572585756752e+04;5.45415431173422912e+04;4.62298043221224702e+02
1329;10.7759138202011;1.52163984891513;0.207803525541501;3.56032595242668;12.5684775707732;1.19864249229431;-8.64339447021484;1.38252137049600333e+07;1.65094584202099941e+05;6.49916098977314832e+04;7.76904249089399818e+04;8.26686253457959829e+04;1.07789289498536673e+04;7.58626631549149024e+04;3.93867488142213697e+04;6.04339066600444494e+04;1.11845477694459555e+03;4.12878985745773170e+04;6.04021128528535555e+04;1.12288594179698725e+03;4.18934209748815265e+04;6.01527586949921533e+04;1.12721819936423003e+03
1330;7.79781219295604;1.37387565708549;-0.101796791897783;0.898307331772264;13.2871901482283;1.20919549465179;-6.87868976593018;6.37240292221684847e+06;1.41947618856891728e+05;5.54397047211343015e+04;5.33477356004610265e+04;6.06691466247061690e+04;6.50237638632018934e+03;5.21897899296619216e+04;2.49210072995103546e+04;5.51234048153160475e+04;8.38097615132499186e+02;2.45713539907515224e+04;5.47863568044898057e+04;8.51041519932653500e+02;2.57114758553285246e+04;5.49473010032543607e+04;8.27913354341867489e+02
1331;14.7033545180514;2.34294842828649;0.105764131145824;2.18615248528356;3.46585727241733;1.21908187866211;-5.11398315429688;1.49882324335831832e+07;2.22844356593861507e+05;1.34758123611694260e+05;1.14770854104981816e+05;1.29867370916652755e+05;1.56391316988162889e+04;1.10707404002784475e+05;5.04457389859286122e+04;6.21695002192052998e+04;9.78767080459151657e+02;5.10942095048780393e+04;6.14594723181973604e+04;9.72952833249245373e+02;4.82339896091746414e+04;6.23373878982446113e+04;9.50729460693825104e+02
1332;6.33622779098587;0.913387498502216;0.0604660795011495;1.75445576106664;6.41569100332181;1.22874009609222;-3.34927749633789;3.62168285550692352e+06;1.12468449394272975e+05;3.73093324974162024e+04;3.64355953024558039e+04;3.82026577172352409e+04;4.95588917175571987e+03;3.58497115011942369e+04;1.43004630394511423e+04;5.34816616258392314e+04;5.76738693582746805e+02;1.51423393995970746e+04;5.33810507272672839e+04;5.78466054065999060e+02;1.35378342964115509e+04;5.34497373973580616e+04;5.83463971886392301e+02
1333;12.5124149347315;1.78200722692213;0.168330537475041;2.69274473306336;7.2587755827288;1.23854112625122;-1.58457088470459;1.49912523574793115e+07;1.90803709316224384e+05;9.38009511184630246e+04;8.91650791820038576e+04;9.69688932933616015e+04;1.29334715025869536e+04;8.60990957088102587e+04;4.26888685135573396e+04;6.05530553613584998e+04;1.03309138125463983e+03;4.61596243719875856e+04;6.08164712194399253e+04;1.05018486124179299e+03;4.16608578855488959e+04;6.05286521862115187e+04;1.04060523708079199e+03
1334;9.24557234498916;1.60943806652493;0.226852678506471;2.67585308601343;8.220834231371;1.2488979101181;0.180133819580078;1.06276974802728575e+07;1.61219336829825101e+05;5.72628829164799608e+04;6.95925225992135965e+04;8.13288631575818581e+04;1.03503683982559596e+04;6.75051249364230898e+04;4.02529233798889181e+04;5.91267154804788443e+04;1.06196874327730598e+03;4.06600136571907497e+04;5.92349902069070595e+04;1.07560599620823564e+03;4.08863409042888597e+04;5.91832877750424159e+04;1.06503425282690864e+03
1335;18.2230834023374;2.25684439736898;0.0985378895572378;3.90623186002114;8.65503962273762;1.26040887832642;1.9448413848877;1.50279258413791023e+07;2.12313683540106576e+05;1.47056486175013764e+05;1.19162408347935183e+05;1.24266157361145291e+05;1.65138045944064215e+04;1.15283866191418347e+05;4.72621774354932495e+04;6.35567382859297795e+04;8.39735412508469949e+02;5.01341791870993547e+04;6.31680605326372097e+04;8.30823899905602048e+02;4.87144098269541864e+04;6.30430349066677154e+04;8.67399345823119802e+02
1336;5.56362719363344;1.09990927158382;-0.028834778899531;3.17241122692449;10.2882922857524;1.27421295642853;3.70954513549805;2.71567897162565822e+06;1.32406042209803069e+05;4.09370030920543068e+04;4.11076534126722618e+04;4.40255812270371825e+04;5.03119762279212409e+03;4.02803421710527837e+04;1.70093812913231886e+04;5.33116876956795750e+04;5.64233154933851893e+02;1.76376913207625694e+04;5.33044639766756736e+04;5.62733086528934450e+02;1.69271464694030292e+04;5.33853609207304107e+04;5.66839170224120153e+02
1337;11.6077761595293;1.93930648663515;0.128749418960055;1.35421623517175;6.66162001691045;1.29342710971832;5.47425270080566;1.45825399021547418e+07;1.88878226727662230e+05;8.86095855543418584e+04;9.35625816000369668e+04;9.81092691450023558e+04;1.37081480873852743e+04;9.01021664817509736e+04;3.85996714787249512e+04;5.96582841093497846e+04;1.17813730887121073e+03;3.86247818166138677e+04;5.92916463231771850e+04;1.14550568803490796e+03;3.94465003140463159e+04;5.90492622441428757e+04;1.14895746377929959e+03
